tree_height,x,y,clay,annual_precip,wind_speed,solar_radiation,temperature_average,water_vapor
17.467283248901367,131.25,-11.25,13.936055183410645,1523,2.612666606903076,20406.416015625,27.406333923339844,2.7455334663391113
16.86190414428711,132.25,-11.25,10.420798301696777,1339,3.0912280082702637,20075.583984375,27.510087966918945,2.762763261795044
14.28125,142.25,-11.25,13.875404357910156,1725,3.759333372116089,19403.666015625,26.461666107177734,2.587733268737793
14.311111450195312,142.75,-11.25,8.960789680480957,1739,4.276666641235352,19542,26.354999542236328,2.6778998374938965
19.924999237060547,130.75,-11.75,15.653456687927246,1715,2.825000047683716,20178.416015625,27.213666915893555,2.6113333702087402
17.88846206665039,132.75,-11.75,18.70232391357422,1355,2.550333261489868,20538.333984375,27.528667449951172,2.6133334636688232
15.182257652282715,133.25,-11.75,20.439735412597656,1278,2.7890000343322754,20572.333984375,27.599332809448242,2.6558666229248047
19.439285278320312,142.25,-11.75,16.191713333129883,1751,4.041999816894531,19701.75,26.43000030517578,2.5655999183654785
15.502272605895996,142.75,-11.75,7.952406883239746,1742,4.2230000495910645,19791.583984375,26.107332229614258,2.6003334522247314
13.598214149475098,131.25,-12.25,27.141212463378906,1473,2.98888897895813,20656.416015625,27.22222137451172,2.5519046783447266
17.444067001342773,132.25,-12.25,31.804040908813477,1405,2.8446667194366455,20763.666015625,27.48900032043457,2.530900001525879
17.413637161254883,132.75,-12.25,47.46986770629883,1446,2.569000005722046,20768.25,27.485000610351562,2.5134999752044678
13.537931442260742,133.25,-12.25,14.70069408416748,1394,1.8806666135787964,20748.583984375,27.650333404541016,2.3762333393096924
15.116666793823242,133.75,-12.25,9.918135643005371,1302,2.0246665477752686,20649.916015625,27.273334503173828,2.400433301925659
16.071794509887695,134.25,-12.25,26.907243728637695,1220,2.422333240509033,20633,27.5223331451416,2.5619332790374756
14.621511459350586,134.75,-12.25,10.399882316589355,1175,2.4176666736602783,20637.083984375,26.84433364868164,2.555299997329712
15.479412078857422,135.25,-12.25,10.526678085327148,1252,3.205434799194336,20540,26.865217208862305,2.617173910140991
17.375,141.75,-12.25,15.860570907592773,1780,3.6623334884643555,20229.5,26.125,2.5606000423431396
18.281665802001953,142.25,-12.25,17.52652359008789,1801,3.2733333110809326,19919.5,26.153667449951172,2.4361000061035156
16.21500015258789,142.75,-12.25,16.03948402404785,1784,3.000999927520752,19595.5,25.8799991607666,2.464200019836426
11.905555725097656,130.75,-12.75,12.483708381652832,1515,2.802666664123535,20901.166015625,27.231666564941406,2.4671332836151123
11.746988296508789,131.25,-12.75,36.85303497314453,1369,2.0796666145324707,20965.5,27.270000457763672,2.3841333389282227
9.359782218933105,131.75,-12.75,16.35332489013672,1361,1.8343333005905151,20907.5,27.385000228881836,2.3194665908813477
10.870454788208008,132.25,-12.75,12.288599967956543,1406,2.0286667346954346,20958.166015625,27.58766746520996,2.334366798400879
11.992281913757324,132.75,-12.75,16.71342658996582,1444,1.8193333148956299,21010.333984375,27.876333236694336,2.3290998935699463
14.140000343322754,133.25,-12.75,26.595964431762695,1428,1.8229999542236328,20705.916015625,26.756000518798828,2.164966583251953
12.20714282989502,133.75,-12.75,10.11422348022461,1314,1.8626666069030762,20855.166015625,26.554000854492188,2.2051334381103516
17.16490364074707,134.25,-12.75,10.22661018371582,1216,1.8309999704360962,20841.75,27.19099998474121,2.301800012588501
15.124736785888672,134.75,-12.75,14.680996894836426,1168,1.7046666145324707,20794.666015625,27.194334030151367,2.369133234024048
14.303999900817871,135.25,-12.75,12.360186576843262,1207,1.993333339691162,20665.666015625,26.90366554260254,2.3933334350585938
12.199999809265137,135.75,-12.75,16.026691436767578,1253,2.63266658782959,20622.583984375,26.726665496826172,2.43233323097229
12.313566207885742,136.25,-12.75,13.83817195892334,1293,3.3953332901000977,20154.666015625,26.783666610717773,2.5011000633239746
18.816667556762695,142.25,-12.75,16.429912567138672,1768,2.988333225250244,20099.916015625,26.130332946777344,2.3953332901000977
13.054545402526855,142.75,-12.75,27.28577423095703,1784,3.0220000743865967,19776.666015625,25.96733283996582,2.360466718673706
17.43000030517578,143.25,-12.75,18.694677352905273,1952,3.322666645050049,19500.666015625,25.680665969848633,2.5547666549682617
17.308570861816406,130.25,-13.25,50.83599090576172,1375,2.9703333377838135,21132.25,26.863666534423828,2.4524667263031006
11.787500381469727,130.75,-13.25,15.063227653503418,1372,1.8896666765213013,21079.166015625,27.012666702270508,2.260366678237915
11.560811042785645,131.25,-13.25,15.436654090881348,1303,1.7649999856948853,21067.5,27.514999389648438,2.251866579055786
10.300999641418457,131.75,-13.25,10.799964904785156,1315,1.7239999771118164,21028,27.614999771118164,2.1986331939697266
11.391176223754883,132.25,-13.25,15.586913108825684,1353,1.7573332786560059,21082.833984375,27.690332412719727,2.2144999504089355
15.344444274902344,132.75,-13.25,12.832812309265137,1351,1.7596666812896729,21161.833984375,27.875667572021484,2.228933334350586
12.9686918258667,133.25,-13.25,8.468021392822266,1343,1.8910000324249268,20954.5,26.55900001525879,2.0630667209625244
15.866666793823242,133.75,-13.25,15.01564884185791,1248,1.8760000467300415,20913.833984375,26.230667114257812,2.095066547393799
15.129326820373535,134.25,-13.25,8.166230201721191,1164,1.7826666831970215,20940.916015625,26.759666442871094,2.1840999126434326
14.202381134033203,134.75,-13.25,14.458084106445312,1127,1.6603333950042725,20907.75,27.14299964904785,2.2495667934417725
12.145000457763672,135.25,-13.25,11.59197998046875,1156,1.8229999542236328,20879.333984375,26.804000854492188,2.2669999599456787
